"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","[70,75)","[75,80)"
"[0,5)",2.08403426246947,1.00407965156173,0.489164460976181,0.469288303308728,0.687223087518561,1.02194030725133,1.131810191697,0.872914571983841,0.568848749966867,0.405861472677318,0.349456602470254,0.316961722797651,0.246044185266279,0.153495387753439,0.0907201947419451,0.0566393203942844
"[5,10)",1.00407965156173,6.20833802215214,1.43486124998239,0.567957587240864,0.503962896287005,0.717049265835666,1.08127400106429,1.18763062004666,0.841132520565329,0.502623474431362,0.35730911055637,0.321388635145171,0.314173399787559,0.255582810016898,0.167648796314024,0.0979436711128741
"[10,15)",0.489164460976181,1.43486124998239,8.50272919013599,1.73426350872314,0.645128466687948,0.559064119427309,0.77024268120913,1.11909320720967,1.13717098255775,0.758693887703423,0.454145337385692,0.32117292910403,0.300999746032034,0.317049033392982,0.274289987329257,0.163356568726741
"[15,20)",0.469288303308728,0.567957587240864,1.73426350872314,6.11875503316428,1.5940150634597,0.75549333805647,0.641580795741555,0.819938210005795,1.07058463139368,1.0044461533987,0.666580720682437,0.396563157663579,0.28917689850967,0.30118376438095,0.338630915918424,0.243157801445119
"[20,25)",0.687223087518561,0.503962896287005,0.645128466687948,1.5940150634597,3.11988316981635,1.57860711047834,0.855666451274258,0.764014306759655,0.9038117511967,1.03922637257525,0.924502662733679,0.602653843979444,0.366328244226888,0.296481104012162,0.341138538579675,0.291378843296231
"[25,30)",1.02194030725133,0.717049265835666,0.559064119427309,0.75549333805647,1.57860711047834,2.47528273254995,1.40296710629553,0.919877906044649,0.865472732187006,0.924426349269367,0.97990426677824,0.832480606307912,0.530989529609915,0.339057918266722,0.319010756296723,0.279338216666151
"[30,35)",1.131810191697,1.08127400106429,0.77024268120913,0.641580795741555,0.855666451274258,1.40296710629553,1.93112122858288,1.29001691017341,0.9264868391213,0.812087033563557,0.814645797800781,0.846342646776606,0.703522086794004,0.450721946953741,0.319649155093161,0.240437706810331
"[35,40)",0.872914571983841,1.18763062004666,1.11909320720967,0.819938210005795,0.764014306759655,0.919877906044649,1.29001691017341,1.81047992438052,1.30249412731736,0.901614666297832,0.732748459287237,0.722589247926309,0.736045079554926,0.600688408867829,0.399827376056759,0.238845763207079
"[40,45)",0.568848749966867,0.841132520565329,1.13717098255775,1.07058463139368,0.9038117511967,0.865472732187006,0.9264868391213,1.30249412731736,1.78163473104664,1.25583393063929,0.815636083864827,0.645317681493545,0.627496557621486,0.620259289720323,0.50138727192968,0.28934712581765
"[45,50)",0.405861472677318,0.502623474431362,0.758693887703423,1.0044461533987,1.03922637257525,0.924426349269367,0.812087033563557,0.901614666297832,1.25583393063929,1.5970844765778,1.06355582727948,0.659024577134345,0.519583636841277,0.50719790143382,0.489941183458507,0.334053194860549
"[50,55)",0.349456602470254,0.35730911055637,0.454145337385692,0.666580720682437,0.924502662733679,0.97990426677824,0.814645797800781,0.732748459287237,0.815636083864827,1.06355582727948,1.31674441199845,0.836356353365892,0.506685858689007,0.408800912829649,0.4010049771802,0.307717474996722
"[55,60)",0.316961722797651,0.321388635145171,0.32117292910403,0.396563157663579,0.602653843979444,0.832480606307912,0.846342646776606,0.722589247926309,0.645317681493545,0.659024577134345,0.836356353365892,1.05811139781565,0.656362253565023,0.400137682465116,0.334520529265258,0.245366339540619
"[60,65)",0.246044185266279,0.314173399787559,0.300999746032034,0.28917689850967,0.366328244226888,0.530989529609915,0.703522086794004,0.736045079554926,0.627496557621486,0.519583636841277,0.506685858689007,0.656362253565023,0.875894726857908,0.544100779818589,0.341019287091619,0.208217260676795
"[65,70)",0.153495387753439,0.255582810016898,0.317049033392982,0.30118376438095,0.296481104012162,0.339057918266722,0.450721946953741,0.600688408867829,0.620259289720323,0.50719790143382,0.408800912829649,0.400137682465116,0.544100779818589,0.75692184405795,0.470670298608175,0.218007974138717
"[70,75)",0.0907201947419451,0.167648796314024,0.274289987329257,0.338630915918424,0.341138538579675,0.319010756296723,0.319649155093161,0.399827376056759,0.50138727192968,0.489941183458507,0.4010049771802,0.334520529265258,0.341019287091619,0.470670298608175,0.656985464045707,0.318702531699875
"[75,80)",0.0566393203942844,0.0979436711128741,0.163356568726741,0.243157801445119,0.291378843296231,0.279338216666151,0.240437706810331,0.238845763207079,0.28934712581765,0.334053194860549,0.307717474996722,0.245366339540619,0.208217260676795,0.218007974138717,0.318702531699875,0.358370883537032
